"mode","analysis_basis","mode_definition","availability","n_trip_rows","n_week_users_ind","n_week_users_from_trips","total_week_trips_weighted","trips_per_week_user","mean_trip_distance_km","mean_trip_duration_min","mean_speed_kmh","total_distance_week_km","total_duration_week_min","distance_per_week_user_km","duration_per_week_user_min"
"walk","active_component","Positive walking component; distance/time from walking component columns.","derived",13285849,1270461,1270461,13891901.6508993,10.9345360864279,1.14534199940595,16.8705872700123,4.07339228116313,15910978.4123918,234364539.147924,12.5237834238058,184.47204530318
"bike","active_component","Positive cycling component; distance/time from cycling component columns.","derived",856212,145723,145723,903710.473987148,6.20156374757003,5.33070295496354,22.6197163684126,14.1399729372583,4817412.09411479,20441674.600753,33.0586941945663,140.277613010664
"walk","main_mode","NTS MainMode_B04ID 1 (walk).","derived",12572574,NA,1122436,13148483.3500381,11.7142388074136,1.13111995988005,17.1866503220258,3.94883216456826,14872511.9593786,225978385.602082,13.250209329867,201.328526171722
"bike","main_mode","NTS MainMode_B04ID 2 (bicycle).","derived",819140,NA,141484,865350.536883178,6.11624308673191,5.39550178822973,23.5911355439061,13.722531782808,4669000.36919875,20414601.808603,33.0002005117098,144.289119678571
"car","main_mode","NTS MainMode_B04ID 3-4 (car/van driver or passenger).","derived",29402269,NA,2282178,31492570.2933023,13.7993488208642,13.7265591958053,21.7680085971592,37.8350434800821,432284630.359074,685530540.891245,189.417578453159,300.384343767772
"pt","main_mode","NTS MainMode_B04 public-transport codes 7-11 and 13.","derived",4162379,NA,781828,4411456.78213757,5.64249014123,19.6309177245203,49.633914030441,23.7308519080085,86600945.1354199,218957866.673622,110.767259723903,280.058870587421
"ebike","unavailable","E-bike is included in NTS MainMode_B04 bicycle code 2 and cannot be separated in the current synthetic-population trip data.","not_derivable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
