"sex","age","pyld_rate","pyld_rate_allcause"
1,0,0.020099219349963,0.0200003245860541
2,0,0.016574606728423,0.016252258390397
1,1,0.0222283966931789,0.0221883600766771
2,1,0.0185055897321741,0.0183436413188997
1,2,0.0245831248938648,0.0246157666478855
2,2,0.0206615370697324,0.0207041488483388
1,3,0.0272573268274353,0.0273469356001537
2,3,0.0230556468626789,0.0233232785615239
1,4,0.0303002813228752,0.0304236355589523
2,4,0.0257126586276786,0.0262229896751971
1,5,0.0336396483517319,0.0338228330548978
2,5,0.0286839635917349,0.0295117263567611
1,6,0.0371553865256635,0.0374968316485791
2,6,0.0320347519749497,0.0333415859085972
1,7,0.0406707172932505,0.0413670138847242
2,7,0.0358476848060172,0.0379242096150681
1,8,0.0440844757936614,0.0454018702557031
2,8,0.0401542539791679,0.0435335366033355
1,9,0.0474406418110287,0.0496432752862055
2,9,0.0449974290988274,0.0503348611779657
1,10,0.0507452414830276,0.0540986935821429
2,10,0.0505207503369551,0.0584108590909298
1,11,0.0540180436029664,0.0587794271693733
2,11,0.0569138669832258,0.0677860591000104
1,12,0.0572927944586924,0.0637013588788912
2,12,0.0644277358183631,0.0783883515635639
1,13,0.0605964331572505,0.0691127809621485
2,13,0.0743565536964116,0.0914470674207889
1,14,0.0638607636199578,0.0750480354512933
2,14,0.0874038181273282,0.107878182051107
1,15,0.0669743845697169,0.0811127737365921
2,15,0.1023949693126,0.126336520989562
1,16,0.0698101421119546,0.0867772373345539
2,16,0.116986620273855,0.144192123489298
1,17,0.0722289110131569,0.091387480834954
2,17,0.127548519699165,0.157455329393169
1,18,0.0739555275909372,0.0942712947698564
2,18,0.130683781181512,0.162142453651683
1,19,0.0750007341014105,0.0956061140801624
2,19,0.127661557442591,0.159405175306604
1,20,0.0756779364465897,0.0960359747610783
2,20,0.121675371813439,0.152895208369143
1,21,0.0763230173616296,0.0962615781733718
2,21,0.115787384027203,0.146214551128563
1,22,0.0772854704494915,0.0969999279453106
2,22,0.11257649888249,0.14246627158992
1,23,0.0786471898568321,0.0982996851165354
2,23,0.112073746705274,0.141635066382299
1,24,0.0801855049155553,0.0996879541322192
2,24,0.11250066455357,0.141607787197148
1,25,0.0818003938119835,0.101111084406935
2,25,0.113498140732402,0.142083062418469
1,26,0.0833837363467106,0.10251232147493
2,26,0.114707624851765,0.142763609985437
1,27,0.0848190302266336,0.10383177332696
2,27,0.115758562915301,0.143348774627337
1,28,0.0860435321328341,0.105030192547218
2,28,0.116663457651552,0.143847010849907
1,29,0.0871250602930454,0.106142818333211
2,29,0.117673632517762,0.144460999911808
1,30,0.0881408864449808,0.107221148125007
2,30,0.118765610958574,0.145177594954547
1,31,0.0891724550649061,0.10831896433586
2,31,0.119915167118492,0.145983601011307
1,32,0.0903051560368675,0.10949229880979
2,32,0.121097177665375,0.146865682822549
1,33,0.0915599447975878,0.110740291080011
2,33,0.122300389342573,0.147818065938645
1,34,0.0928830847268533,0.112027216282414
2,34,0.123543286519968,0.148852034270567
1,35,0.094250120930045,0.113358803082294
2,35,0.124845192915624,0.149980011207224
1,36,0.0956351237444445,0.114741047055679
2,36,0.126226265690664,0.15121490991256
1,37,0.0970106018209242,0.116180232648085
2,37,0.127707601840186,0.152570212587201
1,38,0.0983563061965459,0.117659769944875
2,38,0.129356030630602,0.154100533209456
1,39,0.0996894260624521,0.119177439466154
