"source_people","seed","staged_people","final_people","people_replaced","staged_walkers","final_walkers","walking_members_replaced","staged_total_mmet_delta","final_total_mmet_delta","final_health_cycle_rows"
500,1,375,375,89,159,159,48,281,263.226957430442,14283
500,13,375,375,87,160,160,43,272.875,242.50831368193,14290
500,27,375,375,83,158,158,51,284.083333333333,243.581213007371,14376
2000,1,1500,1500,342,689,689,196,1485.75,1354.27183048055,57550
2000,13,1500,1500,341,694,694,220,1584.375,1581.19003950804,57671
2000,27,1500,1500,331,692,692,204,1535.45833333333,1345.07130637268,57620
