"source_people","seed","staged_people","final_people","people_replaced","staged_walkers","final_walkers","walking_members_replaced","staged_total_mmet_delta","final_total_mmet_delta","final_health_cycle_rows"
500,1,375,375,0,159,159,0,281,281,14246
500,13,375,375,0,160,160,0,272.875,272.875,14419
500,27,375,375,0,158,158,0,284.083333333333,284.083333333333,14272
2000,1,1500,1500,0,689,689,0,1485.75,1485.75,57815
2000,13,1500,1500,0,694,694,0,1584.375,1584.375,57548
2000,27,1500,1500,0,692,692,0,1535.45833333333,1535.45833333333,57812
