"case","seed","halys","deaths","n_ind","n_changed"
"advanced_method",1,34.7578167021821,1.77530032114004,5000,162
"advanced10",1,34.7578167021821,1.77530032114004,5000,162
"advanced100",1,34.7578167021821,1.77530032114004,5000,162
"trips_seed1",1,36.5945522311354,2.09894357626522,5000,166
"trips_seed2",2,40.347494792953,2.27735063184709,5000,170
"trips_seed3",3,37.065778374697,1.95308031326005,5000,171
"trips_stale_users",1,9.68395767552034,0.55707637858575,5000,164
"users",1,9.13114244790574,0.542025454384826,5000,155
